Description,Tag
Antibiotic prophylaxis; Antibiotic therapy; Antibiotics; Antimicrobial therapy; Antimicrobial treatment; Fluoroquinolone antibiotics; Prolonged antibiotics; antibiotic beads; antibiotic prophylaxis; antibiotic regimen; antibiotic solution; antibiotic therapy; antibiotic treatment; antibiotic-bonded grafts; antibiotic-loaded polymethylmethacrylate beads; antibiotics; antimicrobial activity; antimicrobial coated grafts; antimicrobial efficacy; antimicrobial efficiency; antimicrobial properties; antimicrobial prophylaxis; antimicrobial regimen; antimicrobial resistance; antimicrobial substances; antimicrobial therapies; antimicrobial therapy; antimicrobial treatment; broad spectrum antibiotic; broad spectrum antibiotics; cefazolin; cephalosporin; empirical antibiotic treatment; fluoroquinolone antibiotics; gentamicin; intravenous antibiotics; intravenous vancomycin; local antibiotics; long term antibiotic therapy; long term antibiotic treatment; oral antibiotics; oral gentamicin; penicillin allergy; peri-operative systemic antibiotics; post-operative antibiotic therapy; post-operative antibiotics; prophylactic antibiotics; rifampicin; rifampicin bonded; rifampicin bonded grafts; rifampicin bonded polyester grafts; rifampicin resistance; rifampicin soaked; rifampicin-impregnated grafts; rifampin; rifampin combinations; systemic antibiotic prophylaxis; systemic antibiotics; targeted antibiotic therapy; tobramycin; vancomycin; Antimicrobial prophylaxis; Rifampicin; Rifampicin bonded grafts; Vascular Surgical Antibiotics Prophylaxis; antibiotic loaded beads; antimicrobial therapy management; rifampicin-gelatin grafts,clinical.medication.antimicrobial
Aspirin; Aspirin Study Group; Clopidogrel; Clopidogrel.; Dipyridamole; Ticagrelor; aspirin; aspirin allocation; aspirin and clopidogrel; aspirin group; aspirin monotherapy; aspirin plus rivaroxaban; aspirin resistance; aspirin strategy; aspirin therapy; aspirin treatment; clopidogrel; clopidogrel and aspirin; clopidogrel therapy; dipyridamole; dipyridamole monotherapy; extended-release dipyridamole; higher dose aspirin; long term aspirin; low dose aspirin; low-dose aspirin; lower dose aspirin; post-procedural aspirin; prasugrel; ticagrelor; ticagrelor monotherapy; aspirin plus clopidogrel,clinical.medication.antiplatelet
AMBulatory Dual AntiPlatelet; Antithrombotic Therapy; Antithrombotic Treatment; Antithrombotic Trialists; Antithrombotic therapy; DAPT; Dual Antiplatelet Therapy; Measurement of antithrombotic effect; aggressive antithrombotic strategies; antithrombotic; antithrombotic agent; antithrombotic agents; antithrombotic drugs; antithrombotic literature; antithrombotic medications; antithrombotic methods; antithrombotic regimen; antithrombotic regimens; antithrombotic strategies; antithrombotic strategy; antithrombotic therapies; antithrombotic therapy; antithrombotic treatment; antithrombotic use; dual antiplatelet regimens; dual antiplatelet therapy; dual antiplatelet treatment; dual antithrombotic therapy; extended antithrombotic therapy; individualised antithrombotic regimen; Antithrombotic; Antithrombotic Trialists’ Collaboration; Antithrombotic agents; Antithrombotic therapies; Antithrombotic treatment; Dual antiplatelet therapy; PRECISE-DAPT; antithrombotic medication; dual antiplatelet; post-operative antithrombotic therapy; triple antithrombotic therapy,clinical.medication.antithrombotic
Lipid lowering therapy; Lipid-lowering; Lipid-lowering therapy; PCSK9 inhibitor; PCSK9 inhibitors; Statin; Statin Therapy; Statin drugs; Statin therapy; ezetimibe; high intensity statin therapy; high intensity statin treatment; high-dose statin; lipid lowering drugs; lipid lowering therapies; lipid lowering therapy; lipid-lowering; lipid-lowering agents; lipid-lowering drugs; lipid-lowering therapy; statin; statin adherence; statin intolerance; statin therapy; statin use; Lipid lowering agents; Lipid-lowering agents; lipid lowering agents; statin treatment,clinical.medication.lipid
Alteplase; J Thromb Thrombolysis; Thrombolysis; Urokinase; accelerated thrombolysis; clot lysis; completion of thrombolysis; duration of thrombolysis; intra-arterial thrombolysis; intra-arterial urokinase; intra-operative thrombolysis; intravenous thrombolysis; intravenous thrombolysis therapy; local thrombolysis; local urokinase; mechanical thrombolysis; peripheral arterial thrombolysis; pharmaco-mechanical thrombolysis; streptokinase; systemic thrombolysis; thrombolysis; time from thrombolysis; ultrasound accelerated thrombolysis; ultrasound assisted thrombolysis; urokinase; urokinase infusion; urokinase therapy; Ultrasound accelerated thrombolysis; access for thrombolysis; pro-urokinase,clinical.medication.thrombolysis
30 d death/stroke; 343.2; 343.2.1; Acute Ischemic Stroke; Aetiology of stroke; Cerebral embolisation; Cerebral ischaemia; Cerebral protection devices; European Stroke Prevention Study; German Stroke Registry; Ipsilateral stroke; Ischaemic Stroke; National Institutes of Health Stroke Score; Stroke; Stroke Prevention; Stroke Risk; Stroke Study; Stroke prevention; Stroke rates; TIA; TIA/stroke; Vertebrobasilar territory symptoms; acute cerebral ischaemic lesion; acute ischaemic stroke; acute minor stroke; acute stroke; angiogram related stroke; annual stroke rates; any stroke; arterial ischemic stroke; bilateral antegrade selective cerebral perfusion; cerebral; cerebral CT; cerebral algorithmic approach; cerebral aneurysm; cerebral disease; cerebral embolism; cerebral events; cerebral hyperthermia; cerebral infarction; cerebral insult; cerebral ischaemia; cerebral ischaemic events; cerebral ischemia; cerebral oximetry; cerebral oxygen saturation; cerebral perfusion; cerebral perfusion pressure; cerebral protection; cerebral protection systems; cerebral saturation; cerebral tissue oxygenation; cerebral vascular reserve; contralateral TIA; contralateral stroke; crescendo TIA; cryptogenic stroke; death stroke; death/stroke; death/stroke rate; death/stroke rates; disabling stroke; embolic ischaemic stroke; embolic stroke; haemodynamic stroke; haemorrhagic stroke; high risk TIA; high risk of stroke; history of stroke; hospital death/stroke; in hospital death/stroke; intestinal stroke centre; intra-cerebral bleeding; intra-operative cerebral oxygen delivery; intra-operative stroke; ipsilateral middle cerebral artery; ipsilateral stroke; ipsilateral stroke rates; ischaemic cerebral events; ischaemic stroke; ischemic stroke; late ipsilateral stroke; late stroke; late stroke risk; major stroke; middle cerebral artery velocities; minor ischaemic stroke; minor stroke; non-fatal stroke; non-lacunar ischaemic stroke; non-peri-operative stroke; noninvasive cerebral oximetry; peri-operative stroke; peri-operative stroke rates; peri-operative stroke/death; peri-procedural stroke; perioperative cerebral ischaemia; perioperative stroke; perioperative stroke prevention; post-CABG stroke; post-operative stroke; postoperative stroke; predictors of stroke; prior TIA/stroke; prior stroke; proximal cerebral protection devices; prévenir TIA; recent stroke; recurrent ipsilateral stroke; recurrent stroke; recurrent stroke risk; regional cerebral saturation; secondary stroke prevention; selective antegrade cerebral perfusion; selective cerebral perfusion; stroke; stroke care; stroke in evolution; stroke incidence; stroke occurrence; stroke outcomes; stroke percentage; stroke physicians; stroke prevention; stroke rate; stroke rates; stroke risk; stroke risk reduction; stroke risk.; stroke survival; stroke symptoms; stroke unit; stroke/TIA; stroke/death rate; stroke/death risk; thromboembolic stroke; total stroke costs; unilateral cerebral perfusion; unilateral selective cerebral perfusion; urgent stroke prevention; vertebrobasilar ischaemia; Burden of stroke; Cerebral near-infrared spectroscopy; Cerebral oximetry; Cerebral oxygen desaturation; Incidence of peri-operative stroke; Predictors of stroke; VB stroke; burden of stroke; cerebral near-infrared spectroscopy; cerebral protection devices; intraoperative cerebral oximetry; recurrent vertebrobasilar territory symptoms; stroke after cardiac surgery; vertebrobasilar TiA; vertebrobasilar stroke; vertebrobasilar territory,clinical.neuro.stroke
AMPUTATION; Amputation; Amputation Free Survival; Amputation Prevention Centers of America; Amputation risk; Major Amputation; Major amputation; amputation; amputation alternative; amputation free; amputation free survival; amputation free survival rate; amputation graft rate; amputation outcomes; amputation practice; amputation prevention; amputation prevention program; amputation rate; amputation rates; amputation risk; amputation-free survival; high WIfI amputation scores; high amputation rates; higher amputation rates; improved amputation-free survival; leg amputation; limb amputation; low amputation rates; lower extremity amputation; lower extremity amputation rates; lower limb amputation; lower-extremity amputation; major amputation; major amputation rate; major amputation rates; major limb amputation; major to minor amputation ratio; minor amputation; nontraumatic lower limb amputation; prevent amputation; primary amputation; procedure related major amputation; secondary amputation; through-knee amputation; transfemoral amputation; transtibial amputation; Amputation rates; amputation level; amputation service; major ipsilateral amputation; nonurgent amputation; transmetatarsal amputation,clinical.outcome.amputation
4-year mortality; 4.1.2.1; 4.1.2.2; 4.11.1; 4.11.2; 4.11.3; 4.11.4; 4.5.5; 4.9.2; 4.9.3; 4.96; 48.6; ABF operative mortality; CV death; Death; Dialysis Morbidity and Mortality Study; Lower risk of death; Mortality; Mortality rates; age-specific PAD death rate; all cause mortality; all-cause mortality; aneurysm related mortality; anticipated mortality; cancer related death; cardiac death; cardiovascular death; cardiovascular mortality; causes of death; death; death percentage; decrease mortality; decreased mortality; disease and death; early mortality; early mortality rate; early mortality rates; foetal death; foetal mortality; high mortality; high mortality rate; improved mortality; in hospital death; in-hospital death; in-hospital mortality; increased mortality; intra-operative mortality; late mortality; maternal death; maternal mortality; morbidity and mortality; mortality; mortality benefit; mortality increase; mortality outcomes; mortality perspective; mortality predictor; mortality rate; mortality rates; mortality risk; mortality risk stratification; mortality risks; operative death; operative mortality; overall death; overall mortality; patient mortality; peri-operative death; peri-operative mortality; perioperative mortality; periprocedural mortality; post-operative death; post-operative mortality; postoperative mortality; premature death; reduce death; risk of death; thirty day death; vascular death; vascular mortality; CV mortality; Procedural death; death rates; hospital mortality; long-term mortality; peri-procedural mortality rate,clinical.outcome.mortality
Graft patency; Limb-based patency; Primary patency; Secondary patency; VA patency; access patency rate; angiographic patency; bridging stent patency failure; bypass patency; chimney graft patency; favourable patency rates; good patency; graft patency; high patency rates; higher patency rates; improved patency; late patency; limb patency; long term patency; long term patency rate; long term patency rates; long-term patency; midterm patency; midterm patency rates; patency; patency rate; patency rates; patency-based end points; poor patency rates; primary assisted patency; primary patency; primary patency rate; primary patency rates; primary unassisted patency; secondary fistula patency; secondary patency; secondary patency rate; secondary patency rates; surgical patency; unfavourable secondary patency rates,clinical.outcome.patency
Angioplasty; Best Endovascular; CA stent stenosis; CDT; Consider endovascular therapy; DCB angioplasty; Division of Vascular and Endovascular Surgery; ENDOVASCULAR TREATMENT; Emergency endovascular management; Endovascular; Endovascular Repair; Endovascular Surgery; Endovascular Therapy; Endovascular approach; Endovascular interventions; Endovascular pressure measurements; Endovascular repair; Endovascular repair 3.1.4.2.2; Endovascular stent graft repair; Endovascular therapies; Endovascular treatment; European Journal of Vascular & Endovascular Surgery; European Journal of Vascular and Endovascular Surgery; Gore Excluder stent grafts; Italian society for vascular and endovascular surgery; Ovation Alto Stent graft; Stent; Stent graft; Stent graft oversizing; Stenting; Thoracic endovascular aneurysm repair; VA stenting; Vasc Endovascular Surg; Vascular and Endovascular Surgery; acute stent thrombosis; advanced endovascular techniques; angioplasty; angioplasty/stenting; bailout stenting; balloon angioplasty; balloon expandable stent; bare metal stent; bare-metal stenting; bifurcated stent graft; branched arch stent grafts; branched stent graft; branched stent grafts; coiling; complex endovascular interventions; conventional endovascular therapies; covered stent; covered stent placement; covered stenting; drug coated balloon angioplasty; drug eluting stent; dual layer stent; emergency endovascular exclusion; emergency endovascular management; emergency endovascular treatment; emergent endovascular treatment; endovascular; endovascular IAA repair; endovascular aneurysm repair; endovascular aneurysm sealing; endovascular approach; endovascular approaches; endovascular arterial intervention; endovascular device removal; endovascular devices; endovascular era; endovascular exclusion; endovascular failure; endovascular fenestration; endovascular field; endovascular group; endovascular innovation; endovascular intervention; endovascular interventions; endovascular invasive treatments; endovascular lining; endovascular management; endovascular means; endovascular methods; endovascular modalities; endovascular navigation; endovascular option; endovascular options; endovascular outcomes; endovascular possibilities; endovascular procedure; endovascular procedures; endovascular removal; endovascular repair; endovascular revascularisation; endovascular revascularization; endovascular revisions; endovascular revolution; endovascular rheolytic thrombectomy; endovascular sealing; endovascular skills; endovascular solution; endovascular solutions; endovascular stent graft; endovascular stent graft repair; endovascular stent grafting; endovascular stent grafts; endovascular stenting; endovascular stents; endovascular strategies; endovascular strategy; endovascular subgroup; endovascular surgery; endovascular techniques; endovascular technology; endovascular therapy; endovascular treatment; endovascular-first approach; extravascular stent reinforcement; failed endovascular intervention; femoropopliteal stent occlusion; fenestrated stent grafts; immediate endovascular therapy; in stent re-stenosis; in-stent restenosis; indwelling ureteral stent; infected endovascular stents; infected stent grafts; infrapopliteal endovascular interventions; intra-arterial CDT; low profile stent grafts; lower limb arterial endovascular intervention; lower limb endovascular intervention; occluded graft/stent; open retrograde angioplasty; open stent graft explantation; open to endovascular approach; open vs endovascular repair; open vs endovascular treatment; optimal balloon angioplasty; paclitaxel coated balloon angioplasty; paclitaxel eluting stent; patch angioplasty; percutaneous stenting; percutaneous transluminal angioplasty; post-stenting hypotension; pre-emptive balloon angioplasty; primary balloon angioplasty; primary bare metal stenting; primary stenting; provisional stenting; redo stenting; resuscitative endovascular balloon occlusion; routine stenting; selective bare metal stent placement; selective stent placement; selective stenting; self-expandable stent-graft; staged endovascular stent grafting; staged endovascular surgery; stent; stent catheters; stent collapse; stent configurations; stent delivery system; stent design; stent diameter; stent fracture; stent fracture rate; stent fracture rates; stent graft; stent graft exclusion; stent graft infections; stent graft insertion; stent graft migration; stent graft oversizing; stent graft placement; stent graft relining; stent graft repair; stent graft thrombosis; stent graft treatment; stent grafting; stent grafts; stent implantation; stent migration; stent placement; stent removal; stent restenosis; stent thrombosis; stent-graft placement; stent-like device; stent/graft techniques; stenting; stenting controversy; stenting failure; stenting procedures; thoracic endovascular repair; three days before stenting; thrombosed stent; transluminal endovascular stent-graft repair; ureteral stent placement; vascular/endovascular graft.; Ballon angioplasty; Balloon angioplasty; Delayed endovascular stent graft repair; Endovascular arterial intervention; Endovascular embolisation; Endovascular management; Endovascular mechanical thrombectomy; Endovascular revascularisation; Endovascular stent; Endovascular stenting; Endovascular techniques; Endovascular therapy; Resuscitative endovascular balloon occlusion; Stent graft obstruction; Stent-graft deployment; angiosome-targeted angioplasty; customised endovascular solutions; endovascular first approach; endovascular therapies; endovascular treatments; hybrid endovascular; routine endovascular stenting; stent graft availability; stent-graft implantation; urgent endovascular stent graft repair,clinical.procedure.endovascular
Bypass; Bypass surgery; Cardiovascular Surgery; Dutch Bypass; Endarterectomy; European Association for Cardio-Thoracic Surgery; European Journal of Vascular Surgery; European Society for Vascular Surgery; European Society of Vascular Surgery; Fit for surgery; French bypass; High ligation and stripping; Infringuinal bypass surgery; International Society for Cardiovascular Surgery; JAMA Surgery; Journal of Vascular Surgery; Lateral retrosartorius bypass; North American Society for Vascular Surgery; Open bypass; Open repair; Prosthetic bypass grafts; Rutherford's vascular surgery; Society for Vascular Surgery; Society of Vascular Surgery; Surgery; Surgery 2010; Transaortic endarterectomy; VA ligation; VA surgery; Vascular Surgery; abdominal cancer surgery; above knee prosthetic bypass; access surgery; adult cardiac surgery; alternative to surgery; antegrade bypass; aortofemoral bypass; aortoiliac surgery; arterial bypass grafts; arterial surgery; axillo-bifemoral bypass; axillobifemoral bypass; axillobipopliteal bypass; axillofemoral bypass; axillopopliteal bypass; bariatric surgery; bilateral axillofemoral bypass; bridge to open surgery; bypass; bypass chirurgico; bypass conduit; bypass conduits; bypass graft; bypass graft occlusion; bypass grafting; bypass occlusions; bypass procedures; bypass removal; bypass surgery; cancer surgery; cardiac and vascular surgery; cardiac surgery; cardiopulmonary bypass; cardiovascular surgery; complications after surgery; coronary artery bypass grafting; coronary artery bypass surgery; coronary bypass; coronary bypass surgery; crossover bypass; damage control surgery.; decompressive surgery; definitive surgery; delayed surgery; direct bypass; direct open bypass; distal bypass; distal revascularization-interval ligation; elective non-cardiac surgery; elective surgery; elective vascular surgery; emergency open surgery; emergency surgery; endarterectomy; enhanced recovery after surgery; eversion endarterectomy; extra-anatomic arterial bypass; extra-anatomotic bypass; extracranial to intracranial bypass; failed lower extremity bypass grafts; femorodistal bypass grafting; femorofemoral crossover bypass; femorofemoral crossover bypass grafting; femoropopliteal bypass; fistula ligation; general surgery; general surgery programs; high ligation; high risk vascular surgery; high-risk cardiac surgery; indications for surgery; initial surgery; interval ligation; intestinal surgery; keyhole surgery; laparoscopic surgery; left heart bypass; ligation; lower extremity bypass; lower limb bypass; lower-extremity bypass grafts; major non-cardiac surgery; major surgery; major vascular surgery; minimally invasive surgery; non-cardiac surgery; noncardiac surgery; open PV ligation; open SSV surgery; open arterial surgery; open bypass; open bypass surgery; open cardiac surgery; open ligation; open repair; open repair procedures; open surgery; open surgical bypass; open vascular surgery; patch/bypass; patched endarterectomy; peripheral bypass surgery; post-endarterectomy hypotension; postcarotid endarterectomy; previous cardiac surgery; prosthetic bypass; prosthetic bypass grafting; prosthetic bypass grafts; prosthetic bypass surgery; prosthetic conduit bypass; re-do endarterectomy; reconstructive arterial surgery; redo bypass; redo open surgery; redo surgery; semi-urgent elective surgery; surgery; surgery benefit; surgery free survival; surgical bypass; surgical endarterectomy; surgical ligation; thoracic surgery; time to surgery; unfit for surgery; urgency of surgery; vV surgery; vascular surgery; vascular surgery research; visceral artery bypass; Damage control surgery; Damage-control vascular surgery; Days before and after surgery; Division of Vascular Surgery; Ligation; Obturator bypass; Open arterial surgery; Open surgery; Retrograde aortomesenteric bypass; SAT patch/bypass infections; Surgical bypass; acutely occluded bypass grafts; coronary artery bypass; coronary artery bypass graft; damage control surgery; direct retrograde bypass; hybrid surgery; open heart surgery; retrograde bypass; timing of major surgery; timing of surgery,clinical.procedure.open
American Diabetes Association; Atrial Fibrillation; Atrial fibrillation; CKD; CKD stage 3; CKD stage 4; CKD stage 5; COPD; Current smoking; DIABETES; Diabetes; Diabetes Care; Diabetes Metab Res Rev; Diabetes Obes Metab; Diabetes Research; Diabetes management; Diabetes mellitus; History of chronic heart failure; Hypertension; Management of diabetes mellitus; National Institute of Diabetes; Obesity; Prevention Of Progression of Arterial Disease And Diabetes; Smoking; Type 1 diabetes mellitus; arterial hypertension; atrial fibrillation; congestive heart failure; controlled hypertension; decompensated heart failure; diabetes; diabetes care; diabetes control; diabetes educator; diabetes management; diabetes mellitus; diabetes prevalence; diabetes treatment; diabetes-related complications; harms of smoking; heart failure; hypertension; hypertension control; hypertension management; intra-abdominal hypertension; intra-abdominal hypertension (IAH); left ventricular hypertension; local hypertension; management of hypertension; nonvalvular atrial fibrillation; obesity; obesity paradox; obesity treatment; portal hypertension; post-procedural hypertension; pre-diabetes; pre-operative hypertension; quit smoking; rebound hypertension; refractory heart failure; refractory hypertension; renovascular hypertension; resistant hypertension; secondary hypertension; severe congestive heart failure; severe heart failure; smoking; smoking cessation; smoking cessation program; smoking cessation programmes; smoking cessation strategies; smoking cessation team; smoking habits; smoking status; stop smoking; stopping smoking; systemic hypertension; tobacco smoking; tobacco smoking cessation; tobacco smoking status; treatment resistant hypertension; type 1 diabetes; type 2 diabetes; type 2 diabetes mellitus; uncontrolled hypertension; upper limb hypertension; CKD incidence; Control hypertension; Management of hypertension; Promote smoking cessation; Resistant hypertension; Smoking cessation; cigarette smoking; diabetes-related amputations; gestational diabetes mellitus; persistent hypertension; post-endarterectomy hypertension; smoking cessation interventions,clinical.risk.comorbidity
Any proximal DVT; DVT; DVT diagnosis; DVT distal; DVT propagation; DVT prophylaxis; DVT proximal; DVT recurrence; DVT recurrence rate; DVT recurrente; DVT treatment; Hokusai VTE Cancer Investigators; PE; PE sintomático; VTE; VTE Disease; VTE disease; VTE event; VTE pathogenesis; VTE recurrence; VTE recurrence rates; VTE related morbidity; VTE risk; VTE-BLEED risk score; Wells DVT score; Worcester VTE study; acute DVT; acute iliofemoral DVT; acute primary iliofemoral DVT; acute proximal DVT; acute symptomatic VTE; bilateral DVT; calf DVT; cancer associated DVT; death from VTE; further DVT; history of VTE; iliofemoral DVT; lower extremity DVT; peri-procedural PE; pharmacologic VTE prophylaxis; post-operative DVT; prevent PE; previous DVT; primary DVT; provoked DVT; provoked VTE; proximal DVT; recurrent DVT; recurrent VTE; recurrent VTE incidence; recurrent VTE rate; recurrent symptomatic VTE; reducing VTE; riesgo de DVT; secondary VTE; silent PE; suspected DVT; symptomatic PE; systemic DVT precipitants; unprovoked DVT; unprovoked VTE; unprovoked proximal DVT; upper extremity DVT; Provoked proximal DVT; Unprovoked proximal DVT; VTE prophylaxis,clinical.thrombosis.venous
Groin wound; NPWT; NPWT dressing; Ostomy Wound Manage; WIfI wound grades; Wound; Wound Ischemia; Wound Repair Regen; Wound healing; chronic wound; chronic wound care; complete wound closure; conservative VAC therapy; continuous wound analgesia; early wound area progression; groin wound; healed wound; local wound care; local wound complications; local wound debridement; negative pressure wound therapy; negative-pressure-wound-therapy; secondary wound healing; selective wound drainage; surgical wound complications; time to wound healing; vacuum assisted wound closure; vacuum-assisted wound closure; wound; wound area; wound area measurements; wound assessment; wound bed preparation; wound care; wound care providers; wound care team; wound cleansing; wound closure; wound complexity; wound complications; wound debridement; wound dehiscence; wound drains; wound extent; wound grading; wound healing; wound healing problems; wound management; wound morbidity; wound nurse; wound therapies; wound treatment; wound triad; Negative pressure wound therapy; Wound classification; Wound closure; wound drainage,clinical.wound.management
